symbol,time,open,close,high,low,volume,currency,data_provider
AMZN240202C00080000,2024-01-11 15:00:00,77.0,77.0,77.0,77.0,1,USD,polygon.io
AMZN240202C00080000,2024-01-16 20:00:00,72.4,72.4,72.4,72.4,25,USD,polygon.io
AMZN240202C00080000,2024-01-19 21:00:00,75.5,75.5,75.5,75.5,1,USD,polygon.io
AMZN240202C00080000,2024-01-22 19:00:00,75.0,75.0,75.0,75.0,10,USD,polygon.io
AMZN240202C00080000,2024-01-26 20:00:00,79.37,79.37,79.37,79.37,117,USD,polygon.io
AMZN240202C00080000,2024-01-29 15:00:00,79.3,79.45,79.45,79.3,4,USD,polygon.io
AMZN240202C00080000,2024-01-29 18:00:00,80.5,80.56,80.56,80.5,21,USD,polygon.io
AMZN240202C00080000,2024-01-29 21:00:00,80.95,80.95,80.95,80.95,1,USD,polygon.io
AMZN240202C00085000,2024-01-23 16:00:00,69.79,69.79,69.79,69.79,2,USD,polygon.io
AMZN240202C00085000,2024-01-23 19:00:00,70.26,70.26,70.26,70.26,10,USD,polygon.io
AMZN240202C00085000,2024-01-29 15:00:00,74.3,74.3,74.3,74.3,2,USD,polygon.io
AMZN240202C00085000,2024-01-29 21:00:00,75.8,76.0,76.0,75.8,4,USD,polygon.io
AMZN240202C00090000,2024-01-11 15:00:00,67.0,67.0,67.0,67.0,1,USD,polygon.io
AMZN240202C00090000,2024-01-16 21:00:00,63.15,63.15,63.15,63.15,1,USD,polygon.io
AMZN240202C00090000,2024-01-23 21:00:00,66.0,66.0,66.0,66.0,1,USD,polygon.io
AMZN240202C00090000,2024-01-24 18:00:00,68.18,68.18,68.18,68.18,2,USD,polygon.io
AMZN240202C00090000,2024-01-26 17:00:00,69.36,69.36,69.36,69.36,1,USD,polygon.io
AMZN240202C00090000,2024-01-29 16:00:00,69.75,69.39,69.75,69.39,3,USD,polygon.io
AMZN240202C00090000,2024-01-29 18:00:00,70.02,70.02,70.02,70.02,1,USD,polygon.io
AMZN240202P00080000,2024-01-09 15:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
AMZN240202P00080000,2024-01-16 15:00:00,0.02,0.02,0.02,0.02,2,USD,polygon.io
AMZN240202P00080000,2024-01-19 16:00:00,0.01,0.01,0.01,0.01,1,USD,polygon.io
AMZN240202P00080000,2024-01-19 17:00:00,0.01,0.01,0.01,0.01,30,USD,polygon.io
AMZN240202P00080000,2024-01-19 18:00:00,0.01,0.01,0.01,0.01,10,USD,polygon.io
AMZN240202P00080000,2024-01-19 19:00:00,0.01,0.01,0.01,0.01,6,USD,polygon.io
AMZN240202P00080000,2024-01-19 20:00:00,0.01,0.01,0.01,0.01,5,USD,polygon.io
AMZN240202P00080000,2024-01-19 21:00:00,0.01,0.01,0.01,0.01,8,USD,polygon.io
AMZN240202P00080000,2024-01-22 19:00:00,0.01,0.01,0.01,0.01,4,USD,polygon.io
AMZN240202P00080000,2024-01-22 20:00:00,0.01,0.01,0.01,0.01,7,USD,polygon.io
